
index,time,bid,bidvol,ask,askvol
262,2014-11-05 13:53:00,33.71,3193.00,33.72,8321.00
263,2014-11-05 13:54:00,33.72,1900.00,33.73,6695.00
264,2014-11-05 13:55:00,33.71,15272.00,33.72,4200.00
265,2014-11-05 13:56:00,33.72,3300.00,33.73,7763.00
266,2014-11-05 13:57:00,33.72,4200.00,33.73,9199.00
267,2014-11-05 13:58:00,33.72,9300.00,33.73,10625.00
268,2014-11-05 13:59:00,33.72,20310.00,33.73,2100.00
269,2014-11-05 14:00:00,33.72,20600.00,33.73,2700.00
270,2014-11-05 14:01:00,33.70,7312.00,33.71,3595.00
271,2014-11-05 14:02:00,33.68,7063.00,33.70,9548.00
272,2014-11-05 14:03:00,33.69,8284.00,33.70,1542.00
273,2014-11-05 14:04:00,33.70,4100.00,33.71,4900.00
274,2014-11-05 14:05:00,33.68,5413.00,33.69,3875.00
275,2014-11-05 14:06:00,33.67,2686.00,33.68,5217.00
276,2014-11-05 14:07:00,33.67,2600.00,33.68,10834.00
277,2014-11-05 14:08:00,33.67,3700.00,33.68,9010.00
278,2014-11-05 14:09:00,33.67,2300.00,33.68,7456.00
279,2014-11-05 14:10:00,33.67,841.00,33.68,9540.00
280,2014-11-05 14:11:00,33.68,5500.00,33.69,3293.00
281,2014-11-05 14:12:00,33.68,7227.00,33.69,3111.00
282,2014-11-05 14:13:00,33.69,4394.00,33.70,1500.00
283,2014-11-05 14:14:00,33.71,600.00,33.72,11246.00
284,2014-11-05 14:15:00,33.71,4100.00,33.72,5197.00
285,2014-11-05 14:16:00,33.71,2950.00,33.72,5631.00
286,2014-11-05 14:17:00,33.70,9518.00,33.71,3800.00
287,2014-11-05 14:18:00,33.71,6979.00,33.72,13323.00
288,2014-11-05 14:19:00,33.72,5201.00,33.73,2700.00
289,2014-11-05 14:20:00,33.71,5451.00,33.72,5100.00
290,2014-11-05 14:21:00,33.72,8658.00,33.73,728.00
291,2014-11-05 14:22:00,33.72,9221.00,33.73,2700.00
292,2014-11-05 14:23:00,33.70,5598.00,33.71,12553.00
293,2014-11-05 14:24:00,33.70,4511.00,33.71,12417.00
294,2014-11-05 14:25:00,33.71,6139.00,33.72,3558.00
295,2014-11-05 14:26:00,33.71,5971.00,33.72,6258.00
296,2014-11-05 14:27:00,33.71,1900.00,33.72,8676.00
297,2014-11-05 14:28:00,33.72,10884.00,33.73,3337.00
298,2014-11-05 14:29:00,33.72,8018.00,33.73,3255.00
299,2014-11-05 14:30:00,33.72,8245.00,33.73,4490.00
300,2014-11-05 14:31:00,33.73,2747.00,33.74,9902.00
301,2014-11-05 14:32:00,33.73,5828.00,33.74,4786.00
302,2014-11-05 14:33:00,33.72,8509.00,33.73,5300.00
303,2014-11-05 14:34:00,33.72,9603.00,33.73,2000.00
304,2014-11-05 14:35:00,33.72,10576.00,33.73,1343.00
305,2014-11-05 14:36:00,33.72,14776.00,33.73,1961.00
306,2014-11-05 14:37:00,33.72,7579.00,33.73,7285.00
307,2014-11-05 14:38:00,33.72,5500.00,33.73,3354.00
308,2014-11-05 14:39:00,33.72,7301.00,33.73,4900.00
309,2014-11-05 14:40:00,33.71,7343.00,33.72,1700.00
310,2014-11-05 14:41:00,33.72,6477.00,33.73,1301.00
311,2014-11-05 14:42:00,33.72,8018.00,33.73,1487.00
312,2014-11-05 14:43:00,33.72,4041.00,33.73,7471.00
313,2014-11-05 14:44:00,33.70,6578.00,33.71,6095.00
314,2014-11-05 14:45:00,33.71,6902.00,33.72,8324.00
315,2014-11-05 14:46:00,33.70,13290.00,33.71,1700.00
316,2014-11-05 14:47:00,33.71,1802.00,33.72,9461.00
317,2014-11-05 14:48:00,33.70,16546.00,33.71,2000.00
