Date,Open,High,Low,Close,Volume
2021-08-12 19:05:00,148.9,148.91,148.89,148.91,2836
2021-08-12 19:10:00,148.91,148.95,148.91,148.95,2921
2021-08-12 19:15:00,148.93,148.97,148.93,148.97,3043
2021-08-12 19:20:00,148.97,148.97,148.97,148.97,500
2021-08-12 19:25:00,148.97,148.97,148.95,148.96,2538
2021-08-12 19:30:00,148.96,148.97,148.95,148.9699,8013
2021-08-12 19:35:00,148.97,148.97,148.95,148.97,3920
2021-08-12 19:40:00,148.96,148.97,148.95,148.96,6744
2021-08-12 19:45:00,148.97,148.97,148.93,148.95,3075
2021-08-12 19:50:00,148.94,148.96,148.94,148.96,298
2021-08-12 19:55:00,148.93,148.98,148.93,148.98,13617
